2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:26 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:26 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:28 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:28 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:28 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
